Group,N,PassRate_Mean,PassRate_SD,PassRate_Reported_CI_Lower,PassRate_Reported_CI_Upper,PassRate_Recomputed_CI_Lower,PassRate_Recomputed_CI_Upper,PassRate_CI_Max_Abs_Difference,Coverage_Mean,Coverage_SD,Coverage_Reported_CI_Lower,Coverage_Reported_CI_Upper,Coverage_Recomputed_CI_Lower,Coverage_Recomputed_CI_Upper,Coverage_CI_Max_Abs_Difference,Static_Score_Mean,Static_Score_SD,Static_Score_Reported_CI_Lower,Static_Score_Reported_CI_Upper,Static_Score_Recomputed_CI_Lower,Static_Score_Recomputed_CI_Upper,Static_Score_CI_Max_Abs_Difference,Security_Score_Mean,Security_Score_SD,Security_Score_Reported_CI_Lower,Security_Score_Reported_CI_Upper,Security_Score_Recomputed_CI_Lower,Security_Score_Recomputed_CI_Upper,Security_Score_CI_Max_Abs_Difference
G1,12,85.05,7.33,80.4,89.7,80.39274019,89.70725981,0.007259808134,85.05,10.11,78.63,91.47,78.62641246,91.47358754,0.003587538913,82.05,8.12,76.89,87.21,76.89079814,87.20920186,0.0007981388752,73.05,11.11,65.99,80.11,65.99104277,80.10895723,0.001042773757
G2,12,20.1,20.43,7.12,33.08,7.119397288,33.08060271,0.000602712165,30.1,7.62,25.26,34.94,25.25848298,34.94151702,0.001517017459,70.1,10.38,63.5,76.7,63.50486265,76.69513735,0.004862645508,68.1,11.21,60.98,75.22,60.97750581,75.22249419,0.002494194976
G3,12,100,0,100,100,100,100,0,95,8.62,89.52,100.48,89.5231133,100.4768867,0.00311329521,90,7.16,85.45,94.55,85.45075304,94.54924696,0.0007530387126,87,10.62,80.25,93.75,80.25237392,93.74762608,0.002373920549
G4,12,85.95,7.79,81,90.9,81.00047014,90.89952986,0.0004701356943,80.95,10.22,74.46,87.44,74.4565218,87.4434782,0.003478204519,84.95,7.92,79.92,89.98,79.91787208,89.98212792,0.002127923659,60.95,11.91,53.38,68.52,53.38274702,68.51725298,0.002747023892
